________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
RARA	1.0	1.0
MSH6	1.0	0.9999840259552002
UFD1L	0.0	0.9998089671134949
ARHGAP35	1.0	0.9995782375335693
PTPRB	1.0	0.9989430904388428
LCP1	1.0	0.9984817504882812
EPAS1	1.0	0.9968893527984619
KMT2D	1.0	0.9965882301330566
BCL6	1.0	0.9959630966186523
TRIM38	0.0	0.9933454990386963
ERBB3	1.0	0.9921824336051941
CHD2	1.0	0.9911231398582458
FAM171A1	0.0	0.9895503520965576
PIK3R1	1.0	0.9889957904815674
HLF	1.0	0.9869287014007568
MYH9	1.0	0.9862539768218994
ZBTB16	1.0	0.9848486185073853
EXT1	1.0	0.9845442175865173
SKI	1.0	0.9828459024429321
CSF1R	1.0	0.9825862646102905
LMNA	1.0	0.9816715717315674
AR	1.0	0.9779564738273621
GNA11	1.0	0.9768147468566895
CBFA2T3	1.0	0.9752123951911926
CPEB3	1.0	0.9742911458015442
AFF3	1.0	0.973731279373169
RPN1	1.0	0.9721283912658691
LIFR	1.0	0.9717232584953308
QKI	1.0	0.9714560508728027
MEN1	1.0	0.970778226852417
GPR126	0.0	0.9696347713470459
TPM4	1.0	0.9671154022216797
CCDC130	0.0	0.9651784896850586
MAP3K1	1.0	0.9645484685897827
TPRA1	0.0	0.964260458946228
NFE2L2	1.0	0.9638046622276306
CBLB	1.0	0.961939811706543
ROS1	1.0	0.9615485668182373
SDC4	1.0	0.9597815275192261
DCUN1D4	0.0	0.9596602320671082
BCL7A	1.0	0.9590368866920471
PDGFRB	1.0	0.9570539593696594
ATOH8	0.0	0.9549393057823181
IL6ST	1.0	0.9542016983032227
ACVR1	1.0	0.9535789489746094
A1CF	1.0	0.952936589717865
TGFBR2	1.0	0.9520913362503052
NCOA4	1.0	0.9517916440963745
NCOA2	1.0	0.9508034586906433
SPEN	1.0	0.9507927894592285
PPFIBP1	1.0	0.9504141807556152
IKZF3	1.0	0.9486070275306702
NRG1	1.0	0.9485203623771667
GNAS	1.0	0.9482913613319397
SH2B3	1.0	0.9471559524536133
EML4	1.0	0.9421882629394531
CREB3L1	1.0	0.9420444965362549
SETD1B	1.0	0.9418370723724365
IER3IP1	0.0	0.9417979717254639
TCF7L2	1.0	0.9391226768493652
ACVR2B	0.0	0.9357340335845947
ACVR1B	1.0	0.9330453276634216
NFKBIE	1.0	0.9326983094215393
ACSL3	1.0	0.9310470223426819
CREBBP	1.0	0.9284456968307495
RUNX1	1.0	0.9281057119369507
ELL	1.0	0.9278959035873413
RDH10	0.0	0.9254305362701416
EP300	1.0	0.923751711845398
SEPTIN9	1.0	0.923223614692688
ANKHD1-EIF4EBP3	0.0	0.9229943752288818
TPM3	1.0	0.9228110313415527
STAG2	1.0	0.9221413135528564
NTF3	0.0	0.9205541014671326
MLLT1	1.0	0.9188309907913208
FOXO3	1.0	0.9185765981674194
JAZF1	1.0	0.9183850288391113
SH3GL1	1.0	0.9173488020896912
TET2	1.0	0.9171236753463745
EWSR1	1.0	0.9150540828704834
ZEB1	1.0	0.9137160778045654
NCOR2	1.0	0.9133766889572144
USP9X	1.0	0.9126191139221191
PTPRK	1.0	0.9114151000976562
TFEB	1.0	0.9102988243103027
KTN1	1.0	0.9101418256759644
MAF	1.0	0.9100148677825928
BCL11B	1.0	0.9099246263504028
FOXO1	1.0	0.9097380638122559
ARID1B	1.0	0.907498300075531
APCDD1L	0.0	0.9063603281974792
PICALM	1.0	0.9055375456809998
RET	1.0	0.9047636985778809
SETD2	1.0	0.9044014811515808
EZR	1.0	0.9039651155471802
ALDH2	1.0	0.9038815498352051
ASXL1	1.0	0.9020947813987732
CYP2C8	1.0	0.9018130302429199
CDH1	1.0	0.9011768102645874
IKZF1	1.0	0.9004988670349121
