________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
BCL11B	1.0	0.9999184012413025
KMT2D	1.0	0.9997916221618652
CCDC130	0.0	0.9997152090072632
LCP1	1.0	0.9992789030075073
TFEB	1.0	0.998996913433075
RARA	1.0	0.9989190101623535
MYH9	1.0	0.998508095741272
BCL6	1.0	0.9980135560035706
CHST11	1.0	0.9976013898849487
TRIM38	0.0	0.9974552392959595
NCOR2	1.0	0.9971294403076172
MSH6	1.0	0.9963666200637817
RHOH	1.0	0.9961768388748169
PTPRB	1.0	0.9958028793334961
EPAS1	1.0	0.9955217242240906
FLI1	1.0	0.9947605133056641
TPM4	1.0	0.9926960468292236
MALAT1	1.0	0.9921291470527649
LMNA	1.0	0.9910528659820557
PAX5	1.0	0.9906656742095947
EZR	1.0	0.990652322769165
IKZF1	1.0	0.9897013902664185
SETD1B	1.0	0.9894332885742188
LASP1	1.0	0.9891911745071411
BCL2	1.0	0.9888635873794556
PRDM2	1.0	0.988153338432312
CBFA2T3	1.0	0.9870082139968872
MSN	1.0	0.9870070815086365
SH2B3	1.0	0.9867385625839233
UFD1L	0.0	0.9854004979133606
ARHGAP35	1.0	0.9851794242858887
TGFBR2	1.0	0.981688916683197
RUNX1	1.0	0.9816136360168457
ELL	1.0	0.9811174869537354
ARID1A	1.0	0.9800549745559692
EXT1	1.0	0.9797772169113159
NAB2	1.0	0.978492021560669
MAP3K1	1.0	0.9760884642601013
RET	1.0	0.9754451513290405
CHD2	1.0	0.9721976518630981
PTEN	1.0	0.9712218046188354
SMAD3	1.0	0.9704043865203857
MIER2	0.0	0.9694292545318604
PRKCB	1.0	0.9689685702323914
NFKBIE	1.0	0.9676608443260193
PDGFRB	1.0	0.9672755002975464
ELF4	1.0	0.9671930074691772
ZBTB16	1.0	0.9668784141540527
FOXO3	1.0	0.9641954898834229
SKI	1.0	0.9635837078094482
CIITA	1.0	0.9625744223594666
FNBP1	1.0	0.962153434753418
NDE1	0.0	0.9613962769508362
PIK3R1	1.0	0.9579092860221863
FOXO1	1.0	0.9578858613967896
DNMT3A	1.0	0.9570453763008118
PIEZO1	0.0	0.9567762017250061
NFE2L2	1.0	0.9548084139823914
PGS1	0.0	0.9526306390762329
CREB3L1	1.0	0.9525731801986694
MDS2	1.0	0.952459990978241
BCL11A	1.0	0.9518261551856995
QKI	1.0	0.9505029916763306
EML4	1.0	0.9485181570053101
STAT5B	1.0	0.9467232823371887
CCDC6	1.0	0.9438766837120056
CSF1R	1.0	0.9433388113975525
CREBBP	1.0	0.9413722157478333
SPEN	1.0	0.9402452111244202
PTPRC	1.0	0.9401504993438721
BCL7A	1.0	0.9352931976318359
EP300	1.0	0.9351186752319336
LCK	1.0	0.9314538836479187
AXIN2	1.0	0.9302433729171753
MAP2K1	1.0	0.9288307428359985
ITK	1.0	0.9285975098609924
DDX6	1.0	0.9268580675125122
CTNND1	1.0	0.9265724420547485
RNF213	1.0	0.9265455007553101
MAML2	1.0	0.9264309406280518
SEPTIN9	1.0	0.9255843162536621
DLG4	0.0	0.9253077507019043
SPECC1	1.0	0.9244651198387146
KAT6A	1.0	0.9232367277145386
TCF7L2	1.0	0.9224478006362915
ETV6	1.0	0.9205048084259033
TNFAIP3	1.0	0.9170887470245361
ACVR1	1.0	0.9167627692222595
SEPTIN6	1.0	0.9158087968826294
STAT3	1.0	0.9147433042526245
LIFR	1.0	0.9134209156036377
BRD4	1.0	0.9132069945335388
PTCH1	1.0	0.9129478335380554
NCOA2	1.0	0.9127410650253296
BCL3	1.0	0.9112955331802368
AXIN1	1.0	0.9103822708129883
BCR	1.0	0.9092698097229004
FLNA	1.0	0.9088274836540222
FBXO11	1.0	0.9079705476760864
ATOH8	0.0	0.9067133665084839
