________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
KMT2D	1.0	0.9999542236328125
CCDC130	0.0	0.999712347984314
TRIM71	0.0	0.989688515663147
FGFR1	1.0	0.9874022006988525
CBFA2T3	1.0	0.9840660095214844
CREB3L1	1.0	0.9803299903869629
TPM4	1.0	0.9728530645370483
BCL11B	1.0	0.9676077365875244
PBX1	1.0	0.9656143188476562
BRD4	1.0	0.9585925340652466
MYH9	1.0	0.9525996446609497
MSI2	1.0	0.9473573565483093
TAL1	1.0	0.9467066526412964
SH2B3	1.0	0.9452999830245972
IGF2BP2	1.0	0.9421019554138184
LMOD1	0.0	0.9419963955879211
DNMT3A	1.0	0.9351576566696167
LASP1	1.0	0.9302952289581299
CHD2	1.0	0.9278278350830078
CSF1R	1.0	0.9267510175704956
TCF7L2	1.0	0.9253501892089844
PAX3	1.0	0.9228977560997009
NES	0.0	0.9223294258117676
ELL	1.0	0.9202830791473389
LMO1	1.0	0.9202765226364136
EP300	1.0	0.9193007349967957
FBLN2	1.0	0.9182464480400085
MLLT1	1.0	0.9155052900314331
ITPR3	0.0	0.9149060845375061
CREBBP	1.0	0.9145762920379639
PRDM16	1.0	0.9141942858695984
DDR2	1.0	0.9139493703842163
CTNND1	1.0	0.911106526851654
BCL9	1.0	0.908993661403656
CDK12	1.0	0.9083009958267212
BASP1	0.0	0.9057475328445435
PIK3CB	1.0	0.903167724609375
GPR114	0.0	0.9030938744544983
ARID1A	1.0	0.9028301239013672
CTCF	1.0	0.9025676250457764
ZNF362	0.0	0.9012572169303894
ACVR2B	0.0	0.9007962942123413
ZBTB16	1.0	0.8996249437332153
TCEA1	1.0	0.8994691371917725
PAX8	1.0	0.8987259268760681
BRD3	1.0	0.8986455202102661
BCR	1.0	0.8983445167541504
CDH1	1.0	0.8982659578323364
PTCH1	1.0	0.8934007287025452
PDE4DIP	1.0	0.89328932762146
SEPTIN9	1.0	0.8930833339691162
THRAP3	1.0	0.8922779560089111
SPECC1	1.0	0.8915957808494568
SMAD3	1.0	0.8904601335525513
TP63	1.0	0.8901513814926147
MRTFA	1.0	0.8894899487495422
THUMPD2	0.0	0.8890331983566284
NCOR2	1.0	0.8883839845657349
EPAS1	1.0	0.8876681923866272
LMNA	1.0	0.8855886459350586
LARGE	0.0	0.8854430913925171
CHD4	1.0	0.8851088285446167
NUP98	1.0	0.8839113712310791
COL3A1	1.0	0.8833909034729004
PDE3A	0.0	0.8816087245941162
CCND2	1.0	0.8815043568611145
RHOA	1.0	0.8810341358184814
SMC1A	1.0	0.8803756237030029
KMT2A	1.0	0.8801606297492981
EZR	1.0	0.8795987367630005
WIF1	1.0	0.878902792930603
TCF3	1.0	0.8776371479034424
LARP4B	1.0	0.8762979507446289
LDLRAD3	0.0	0.8758540749549866
PLCG1	1.0	0.8753063082695007
SMARCA4	1.0	0.8747820854187012
AXIN2	1.0	0.8747061491012573
CUL3	1.0	0.8740845322608948
DNM2	1.0	0.8726176023483276
NFE2L2	1.0	0.8724297285079956
PAX5	1.0	0.8714250326156616
WDR44	0.0	0.8714150786399841
HOXA13	1.0	0.8696140050888062
BARD1	1.0	0.869270920753479
CHST11	1.0	0.8692488670349121
EIF4A2	1.0	0.8680840730667114
SET	1.0	0.8672187328338623
USP9X	1.0	0.8670409917831421
WEE2	0.0	0.866604208946228
NFATC2	1.0	0.8665629625320435
PRR12	0.0	0.8665105104446411
ARID1B	1.0	0.8647713661193848
TFEB	1.0	0.8646770715713501
CTNNA2	1.0	0.8646222352981567
NTF3	0.0	0.8645401000976562
AKT2	1.0	0.8634454011917114
FBXO11	1.0	0.8631102442741394
TRIM24	1.0	0.8630217909812927
MSH2	1.0	0.8627609014511108
GBA	0.0	0.8620976209640503
