________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
GNAS	1.0	0.9995001554489136
CCDC130	0.0	0.9976954460144043
KMT2D	1.0	0.9964349269866943
MSH6	1.0	0.9915875196456909
ERBB3	1.0	0.9777764081954956
TRIM71	0.0	0.9731013774871826
CBFA2T3	1.0	0.9665567874908447
FGFR1	1.0	0.9479917287826538
CREB3L1	1.0	0.9402490258216858
PBX1	1.0	0.9396608471870422
CHD4	1.0	0.9340484142303467
EXT1	1.0	0.9244688749313354
SETD1B	1.0	0.9211137294769287
TRIM38	0.0	0.9206546545028687
EZR	1.0	0.9141205549240112
PDE3A	0.0	0.9139572978019714
CCND2	1.0	0.9125438928604126
PTMS	0.0	0.9091637134552002
LMNA	1.0	0.9081102609634399
TPM4	1.0	0.9030347466468811
GBA	0.0	0.9019565582275391
ACVR2B	0.0	0.896478533744812
TPRA1	0.0	0.8947544693946838
BCL7A	1.0	0.8920619487762451
BCL11B	1.0	0.8905534148216248
TP63	1.0	0.8905412554740906
IL21R	1.0	0.8884590864181519
IER3IP1	0.0	0.887394905090332
LASP1	1.0	0.8863858580589294
GPR162	0.0	0.886264443397522
CDKN1B	1.0	0.8831442594528198
NTF3	0.0	0.8829820156097412
NES	0.0	0.8817398548126221
LIFR	1.0	0.8796200752258301
PTGFR	0.0	0.8775029182434082
DNMT3A	1.0	0.8769954442977905
JAK3	1.0	0.8760223388671875
COL3A1	1.0	0.8733882904052734
LPP	1.0	0.8697370290756226
BCR	1.0	0.8693852424621582
LCK	1.0	0.86757493019104
SPECC1	1.0	0.8645700216293335
PAX5	1.0	0.862584114074707
CHRM2	0.0	0.8625199794769287
PAX3	1.0	0.8621853590011597
RUNX1	1.0	0.8604069948196411
DDX5	1.0	0.8597638010978699
FAT3	1.0	0.8593946695327759
SET	1.0	0.8593764305114746
MSH2	1.0	0.859223484992981
NSD2	1.0	0.859129786491394
UFD1L	0.0	0.8587251305580139
PTPRD	1.0	0.8579310178756714
AKT3	1.0	0.8571118116378784
ARHGAP35	1.0	0.8566158413887024
CTNNA2	1.0	0.8560747504234314
FOXR1	1.0	0.8559584617614746
THUMPD2	0.0	0.8557864427566528
CIITA	1.0	0.8556815385818481
RHOH	1.0	0.8524023294448853
TCHH	0.0	0.8509445786476135
ROS1	1.0	0.8506892919540405
BCL9	1.0	0.8502024412155151
KDM5A	1.0	0.8499108552932739
MDS2	1.0	0.8495558500289917
ERC1	1.0	0.848731517791748
TNFRSF14	1.0	0.8481035828590393
PIK3CB	1.0	0.8462666273117065
RIMKLB	0.0	0.8459557294845581
ABCD2	0.0	0.8458991050720215
DDR2	1.0	0.8453187942504883
FLT4	1.0	0.8449488878250122
NCOR2	1.0	0.8445549011230469
CD79A	1.0	0.8432755470275879
ACSL3	1.0	0.8424872159957886
ITK	1.0	0.8417114615440369
CNBD1	1.0	0.8415629863739014
MUC16	1.0	0.8415142297744751
GPR114	0.0	0.8409103751182556
LSS	0.0	0.8406590819358826
ESR1	1.0	0.8400564193725586
PPARG	1.0	0.8400384187698364
A1CF	1.0	0.8399013876914978
VIM	0.0	0.8378496170043945
PTPRC	1.0	0.8367375731468201
VAV1	1.0	0.8358162641525269
PDE4DIP	1.0	0.835730254650116
SAMD11	0.0	0.833759605884552
TIMM13	0.0	0.8333945274353027
USP6	1.0	0.8332018852233887
CSF1R	1.0	0.8329041004180908
THRAP3	1.0	0.8325685262680054
PAX8	1.0	0.8324524164199829
PDGFRB	1.0	0.8309256434440613
RNF219	0.0	0.8307285308837891
CD209	1.0	0.8292543888092041
MACC1	1.0	0.828934371471405
POU2AF1	1.0	0.8280825018882751
TCF7L2	1.0	0.8266525268554688
MRPS22	0.0	0.825922966003418
