#Gene          	Label     	Location                      	Source    	Strand    
A1CF           	CD        	chr10:50799421-50885675       	CGC_v.96  	neg       
ABI1           	CD        	chr10:26746593-26860935       	CGC_v.96  	neg       
ABL1           	CD        	chr9:130713946-130885683      	CGC_v.96  	pos       
ABL2           	CD        	chr1:179099327-179229601      	CGC_v.96  	neg       
ACKR3          	CD        	chr2:236569641-236582358      	CGC_v.96  	pos       
ACSL3          	CD        	chr2:222860934-222944639      	CGC_v.96  	pos       
ACSL6          	CD        	chr5:131949973-132011662      	CGC_v.96  	neg       
ACVR1          	CD        	chr2:157736444-157875111      	CGC_v.96  	neg       
ACVR1B         	CD        	chr12:51951701-51994217       	CGC_v.96  	pos       
ACVR2A         	CD        	chr2:147844517-147930824      	CGC_v.96  	pos       
AFDN           	CD        	chr6:167827635-167970232      	CGC_v.96  	pos       
AFF1           	CD        	chr4:86935002-87141054        	CGC_v.96  	pos       
AFF3           	CD        	chr2:99551121-100106128       	CGC_v.96  	neg       
AFF4           	CD        	chr5:132875379-132963634      	CGC_v.96  	neg       
AKAP9          	CD        	chr7:91940867-92110673        	CGC_v.96  	pos       
AKT1           	CD        	chr14:104769349-104794124     	CGC_v.96  	neg       
AKT2           	CD        	chr19:40230317-40285395       	CGC_v.96  	neg       
AKT3           	CD        	chr1:243499720-243843282      	CGC_v.96  	neg       
ALDH2          	CD        	chr12:111766922-111817529     	CGC_v.96  	pos       
ALK            	CD        	chr2:29192774-29921566        	CGC_v.96  	neg       
AMER1          	CD        	chrX:64185117-64205744        	CGC_v.96  	neg       
ANK1           	CD        	chr8:41653225-41896762        	CGC_v.96  	neg       
APC            	CD        	chr5:112737888-112846239      	CGC_v.96  	pos       
APOBEC3B       	CD        	chr22:38982409-38992784       	CGC_v.96  	pos       
AR             	CD        	chrX:67544036-67730619        	CGC_v.96  	pos       
ARAF           	CD        	chrX:47561100-47571920        	CGC_v.96  	pos       
ARHGAP26       	CD        	chr5:142770377-143229011      	CGC_v.96  	pos       
ARHGAP35       	CD        	chr19:46918676-47005077       	CGC_v.96  	pos       
ARHGAP5        	CD        	chr14:32077289-32159728       	CGC_v.96  	pos       
ARHGEF10       	CD        	chr8:1824015-1958641          	CGC_v.96  	pos       
ARHGEF10L      	CD        	chr1:17539835-17697869        	CGC_v.96  	pos       
ARHGEF12       	CD        	chr11:120337078-120489936     	CGC_v.96  	pos       
ARID1A         	CD        	chr1:26696033-26782110        	CGC_v.96  	pos       
ARID1B         	CD        	chr6:156777374-157210779      	CGC_v.96  	pos       
ARID2          	CD        	chr12:45729665-45908040       	CGC_v.96  	pos       
ARNT           	CD        	chr1:150809705-150876768      	CGC_v.96  	neg       
ASPSCR1        	CD        	chr17:81977550-82017404       	CGC_v.96  	pos       
ASXL1          	CD        	chr20:32358330-32439319       	CGC_v.96  	pos       
ASXL2          	CD        	chr2:25741925-25780309        	CGC_v.96  	neg       
ATF1           	CD        	chr12:50764292-50821122       	CGC_v.96  	pos       
ATIC           	CD        	chr2:215311817-215349763      	CGC_v.96  	pos       
ATM            	CD        	chr11:108222832-108369099     	CGC_v.96  	pos       
ATP1A1         	CD        	chr1:116373867-116404772      	CGC_v.96  	pos       
ATP2B3         	CD        	chrX:153536122-153582929      	CGC_v.96  	pos       
ATR            	CD        	chr3:142449237-142578826      	CGC_v.96  	neg       
ATRX           	CD        	chrX:77504878-77786269        	CGC_v.96  	neg       
AXIN1          	CD        	chr16:287440-352659           	CGC_v.96  	neg       
AXIN2          	CD        	chr17:65528563-65561647       	CGC_v.96  	neg       
B2M            	CD        	chr15:44711477-44718877       	CGC_v.96  	pos       
BAP1           	CD        	chr3:52401013-52410350        	CGC_v.96  	neg       
BARD1          	CD        	chr2:214725646-214809704      	CGC_v.96  	neg       
BAX            	CD        	chr19:48954929-48961798       	CGC_v.96  	pos       
BAZ1A          	CD        	chr14:34752737-34875647       	CGC_v.96  	neg       
BCL10          	CD        	chr1:85266248-85277090        	CGC_v.96  	neg       
BCL11A         	CD        	chr2:60457192-60555154        	CGC_v.96  	neg       
BCL11B         	CD        	chr14:99169287-99271228       	CGC_v.96  	neg       
BCL2           	CD        	chr18:63123346-63320128       	CGC_v.96  	neg       
BCL2L12        	CD        	chr19:49665142-49673915       	CGC_v.96  	pos       
BCL3           	CD        	chr19:44748547-44760044       	CGC_v.96  	pos       
BCL6           	CD        	chr3:187721377-187745727      	CGC_v.96  	neg       
BCL7A          	CD        	chr12:122019422-122062044     	CGC_v.96  	pos       
BCL9           	CD        	chr1:147541412-147626216      	CGC_v.96  	pos       
BCL9L          	CD        	chr11:118893875-118910904     	CGC_v.96  	neg       
BCLAF1         	CD        	chr6:136256863-136289851      	CGC_v.96  	neg       
BCOR           	CD        	chrX:40051248-40097403        	CGC_v.96  	neg       
BCORL1         	CD        	chrX:130005188-130058083      	CGC_v.96  	pos       
BCR            	CD        	chr22:23180210-23318037       	CGC_v.96  	pos       
BIRC3          	CD        	chr11:102317495-102337734     	CGC_v.96  	pos       
BIRC6          	CD        	chr2:32357028-32618899        	CGC_v.96  	pos       
BLM            	CD        	chr15:90717327-90816165       	CGC_v.96  	pos       
BMP5           	CD        	chr6:55753645-55875564        	CGC_v.96  	neg       
BMPR1A         	CD        	chr10:86756650-86932838       	CGC_v.96  	pos       
BRAF           	CD        	chr7:140730665-140924928      	CGC_v.96  	neg       
BRCA1          	CD        	chr17:43044295-43125483       	CGC_v.96  	neg       
BRCA2          	CD        	chr13:32315474-32400266       	CGC_v.96  	pos       
BRD3           	CD        	chr9:134030305-134068017      	CGC_v.96  	neg       
BRD4           	CD        	chr19:15235519-15280451       	CGC_v.96  	neg       
BRIP1          	CD        	chr17:61681266-61863521       	CGC_v.96  	neg       
BTG1           	CD        	chr12:92140278-92145897       	CGC_v.96  	neg       
BTG2           	CD        	chr1:203305536-203309602      	CGC_v.96  	pos       
BTK            	CD        	chrX:101349447-101390796      	CGC_v.96  	neg       
BUB1B          	CD        	chr15:40161026-40221136       	CGC_v.96  	pos       
C15orf65       	CD        	chr15:55408548-55418712       	CGC_v.96  	pos       
CACNA1D        	CD        	chr3:53495049-53813733        	CGC_v.96  	pos       
CALR           	CD        	chr19:12938607-12944489       	CGC_v.96  	pos       
CAMTA1         	CD        	chr1:6785324-7769706          	CGC_v.96  	pos       
