Gene,CDS_length
TP53,1182.0
PTEN,1212.0
CDKN2A,471.0
ARID1A,6858.0
APC,8532.0
PBRM1,4749.0
RB1,2787.0
VHL,642.0
NF1,8520.0
MAP3K1,4050.0
SMAD4,1659.0
KDM6A,4206.0
GATA3,1335.0
ARID2,5508.0
SETD2,6186.0
KMT2D,15804.0
NPM1,885.0
ATRX,7479.0
FBXW7,1884.0
KMT2C,14736.0
PIK3R1,2175.0
CASP8,1491.0
CDH1,2649.0
CTCF,2184.0
ATM,9171.0
CIC,4827.0
RUNX1,1443.0
RPL22,387.0
STAG2,3696.0
FAT1,13767.0
NOTCH1,7668.0
MAP2K4,1200.0
BAP1,2190.0
RNF43,2352.0
ARHGAP35,4542.0
ZC3H13,4695.0
RASA1,3144.0
STK11,1302.0
CDKN1A,495.0
EP300,7245.0
CDKN1B,597.0
ARID1B,6696.0
B2M,360.0
KDM5C,4683.0
IL32,567.0
FUBP1,1935.0
TGFBR2,1704.0
KANSL1,3318.0
BCOR,5166.0
GPS2,984.0
SMARCA4,4944.0
LARP4B,2217.0
NSD1,8091.0
HLA-A,1098.0
CRIPAK,1341.0
AOAH,1728.0
CREBBP,7329.0
TNRC6B,5172.0
ACVR1B,1464.0
DNMT3A,2739.0
ACVR2A,1542.0
RERE,4701.0
ASXL1,4626.0
NCOR1,7323.0
USP28,3234.0
THRAP3,2868.0
MEN1,1833.0
TBX3,2232.0
ZFP36L2,1485.0
ID3,360.0
SMAD2,1404.0
NOTCH2,7416.0
TBL1XR1,1545.0
ZFP36L1,1017.0
SMARCB1,1158.0
RBMX,1176.0
AJUBA,1617.0
TET2,6009.0
CDK12,4473.0
ELF3,1116.0
WT1,1350.0
KEAP1,1875.0
PLEKHA6,3147.0
HLA-B,1089.0
NF2,1788.0
RBM10,2793.0
CHD8,7746.0
ZC3H18,2862.0
CEBPA,1077.0
DDX3X,1989.0
MYO6,3858.0
ZNF318,6840.0
MBD6,3012.0
COL4A2,5139.0
TRIP12,5979.0
KMT2B,8154.0
CCAR1,3453.0
NAA25,2919.0
AFDN,4839.0
PHF6,1098.0
TCF12,2121.0
KMT2A,11910.0
DNER,2214.0
MGA,9345.0
CYLD,2871.0
TMCO2,549.0
HS6ST1,1236.0
GIGYF2,3900.0
TP53BP1,5919.0
CCDC88A,5532.0
EIF2AK3,3351.0
USP9X,7644.0
GSE1,3654.0
JMJD1C,6912.0
CBFB,549.0
FANCM,6147.0
IWS1,2460.0
FOXA1,1419.0
ZNF292,7737.0
ZNRF3,2511.0
BRCA1,5592.0
TCF7L2,1791.0
CHD2,5220.0
SOX9,1530.0
WDR33,4011.0
EMG1,1389.0
MTFR1L,879.0
TRAF3,1707.0
AMER1,2415.0
SIN3A,3822.0
SOX21,831.0
CCDC144NL,666.0
LUC7L3,1299.0
RPL5,894.0
AMBRA1,3627.0
CSNK2A1,1176.0
ZMYM4,4647.0
AXIN1,2589.0
FAS,1008.0
INPPL1,3777.0
EPHA2,2931.0
HERC1,14586.0
DACH1,2127.0
PTCH1,4344.0
CNOT3,2262.0
CTDNEP1,735.0
EXO5,1122.0
ATAD2,4173.0
RGS12,4344.0
SPRED1,1335.0
PLAC4,450.0
AMOT,2028.0
ARHGAP5,4509.0
DENND6A,1827.0
RUFY2,1926.0
ZMYM3,4113.0
MED23,4098.0
ASXL2,2757.0
RAD21,1896.0
GGCT,567.0
HNF1A,1896.0
LIMCH1,3252.0
CTNND1,2826.0
RBM26,2943.0
HDAC2,1467.0
MBD1,1818.0
STX7,786.0
THUMPD3,1524.0
CPEB2,1770.0
MYO1B,3237.0
PHACTR4,2139.0
HMCN1,16908.0
TBC1D10C,1341.0
BRCA2,10257.0
NUP98,5403.0
SPATA6,1467.0
AFF4,3492.0
IDH2,1359.0
EPB41L4A,2061.0
ANKRD46,687.0
ANO3,2946.0
RBBP6,5379.0
NEK9,2940.0
SMARCA1,3165.0
BAX,657.0
PNISR,2418.0
WAC,1944.0
C2CD5,3003.0
INO80,4671.0
CUL3,2307.0
RIMS2,3492.0
PSIP1,1002.0
DUSP16,1998.0
UPF3B,1452.0
ATG5,828.0
SFPQ,2124.0
SEC22A,924.0
CSDE1,2397.0
PRRC2C,8697.0
HLA-DRB1,801.0
SESTD1,2091.0
CD58,753.0
ZNF319,1749.0
PTPRK,4323.0
CHD3,6003.0
RPL18,567.0
PPM1D,1818.0
BRE,1248.0
SPCS1,309.0
SPSB2,792.0
TMPO,1365.0
ZNF750,2172.0
TMEM30A,1086.0
SPRED2,1257.0
RXRB,1602.0
BRWD3,5409.0
PCDH7,3603.0
ZBTB18,1596.0
DEPDC5,4719.0
BTBD7,3399.0
BCL10,702.0
GNPTAB,3771.0
PLEKHM3,2286.0
TAOK1,3006.0
DIP2C,4671.0
NFATC4,2709.0
ADAMTS19,3624.0
TTC18,3366.0
CERK,1614.0
IFNGR2,1014.0
SRSF11,1455.0
MKRN1,1449.0
TYRP1,1614.0
VPS13A,9525.0
PRKRA,942.0
NCOR2,7575.0
DAAM1,3237.0
PUS7,1986.0
BTG3,759.0
PRPF40A,2481.0
NIPBL,8415.0
SLC23A2,1953.0
CDC27,2475.0
KCNT2,3408.0
MOAP1,1056.0
GAPVD1,4464.0
RBM15,2934.0
SMC4,3867.0
SCRN3,1275.0
UBR5,8400.0
RNF111,2961.0
WDR47,2763.0
DOPEY1,7398.0
WBP1,810.0
MAGED1,2505.0
TCEB3,2319.0
ZNF234,2103.0
GLTSCR1,4683.0
FAM58A,645.0
KIAA0907,1845.0
BRD7,1956.0
PPP3CC,1539.0
FOSL2,981.0
KBTBD7,2055.0
HNRNPD,921.0
PEX2,918.0
LDB1,1128.0
MAP3K4,4827.0
HGF,2187.0
COQ9,957.0
CLGN,1833.0
SNRPN,723.0
LEMD2,1512.0
BMPR2,3117.0
YLPM1,5469.0
ATR,7935.0
BIRC6,14574.0
HAUS8,1233.0
SIK3,4110.0
KDM3B,5286.0
CCDC120,1893.0
TEX11,2778.0
B3GNT5,1137.0
COL8A2,2112.0
DYRK1A,2292.0
UGT2A2,1608.0
PABPC3,1896.0
GPR174,1002.0
CCDC38,1692.0
RAPGEF6,3615.0
SUZ12,2220.0
WWC2,3579.0
GGNBP2,2094.0
TNIK,4083.0
DPY19L4,2172.0
ABCA10,4632.0
CACUL1,1110.0
ERRFI1,1389.0
MORC4,2283.0
APPBP2,1506.0
SPEN,10995.0
BCL9,4185.0
WWP1,2769.0
IL25,534.0
CCND3,879.0
LEPREL2,1656.0
UNC13C,6645.0
NEUROD6,1014.0
MARCKSL1,588.0
PAWR,1023.0
BCORL1,5136.0
PHF20L1,858.0
TAF15,1779.0
MGAT2,1344.0
BTBD11,3315.0
CLSPN,4020.0
MLF1,807.0
RNF217,828.0
SENP6,3339.0
USP26,2742.0
ATF7IP,3813.0
BAZ2B,6507.0
ING1,807.0
CEP290,7440.0
KBTBD4,1557.0
ZFY,2406.0
NOTCH3,6966.0
MBNL1,1167.0
NFE2,1122.0
OR2T35,972.0
API5,1515.0
JAK1,3465.0
DHX15,2388.0
CSMD3,11124.0
ARID5B,3567.0
ZNF222,1356.0
TCF4,2004.0
IRF6,1404.0
SEC63,2283.0
TMEM131,5313.0
RLTPR,4428.0
BRSK1,2337.0
ITSN1,5166.0
ZFHX3,11112.0
UTY,4044.0
SBNO1,4179.0
ACOT4,1266.0
TACR1,1224.0
ZNF146,879.0
MAZ,1482.0
HECTD1,7833.0
PPFIA4,4722.0
CHD9,8697.0
MSH2,2805.0
C10ORF88,1338.0
SHANK1,6486.0
SENP8,639.0
LMBRD2,2088.0
RIMS1,5079.0
IRF2BP2,1764.0
MAP4K4,3963.0
TMEM63A,2424.0
SCAF8,3816.0
ZNF225,2121.0
MAP4K3,2685.0
GUSB,1956.0
CCPG1,2274.0
LARP1,3291.0
MGAT5,2226.0
TOP2B,4866.0
TFAM,741.0
FSIP2,4818.0
FXR1,1866.0
VAMP1,357.0
ARPP21,2439.0
ZMYM2,4134.0
PADI2,1998.0
