________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
DDX5	1.0	0.8564579486846924
JUN	1.0	0.8461438417434692
CHD4	1.0	0.8438607454299927
MALAT1	1.0	0.8380173444747925
NES	0.0	0.8356399536132812
PTMS	0.0	0.8292744755744934
RBM15	1.0	0.8268700242042542
LMNA	1.0	0.8234020471572876
NPM1	1.0	0.8159549832344055
CDKN1B	1.0	0.8154581785202026
TRIM71	0.0	0.8140101432800293
EIF4A2	1.0	0.8128894567489624
GSG1	0.0	0.8116748332977295
AXIN2	1.0	0.810847282409668
INSIG1	0.0	0.8102678060531616
TIMM13	0.0	0.8094758987426758
EXT1	1.0	0.8045933246612549
GDF11	0.0	0.8040869235992432
DDX3X	1.0	0.8020358085632324
C3ORF58	0.0	0.8005168437957764
BCL10	1.0	0.7996845841407776
CCND2	1.0	0.7981066703796387
PDE3A	0.0	0.7967931032180786
MAF	1.0	0.7933402061462402
VHL	1.0	0.789588451385498
SRSF2	1.0	0.7892279624938965
PBX1	1.0	0.7886699438095093
PTCH1	1.0	0.7847335338592529
RGPD3	1.0	0.7840226292610168
SET	1.0	0.781464695930481
KLF6	1.0	0.7811542749404907
EZR	1.0	0.775446355342865
VIM	0.0	0.7740569114685059
MYCN	1.0	0.7717092037200928
SFPQ	1.0	0.7713329792022705
MYC	1.0	0.7696776390075684
DLG4	0.0	0.7695731520652771
GLI1	1.0	0.7682722806930542
LIN7A	0.0	0.7679663896560669
ACVR2B	0.0	0.7674304842948914
BMP4	0.0	0.7659493684768677
MLLT11	1.0	0.7649328708648682
TAL1	1.0	0.7626953125
SRSF3	1.0	0.758525013923645
CLP1	1.0	0.7578634023666382
SMARCE1	1.0	0.7565525770187378
CLN5	0.0	0.7541722655296326
FOXP1	1.0	0.7531439065933228
BCR	1.0	0.7526007294654846
QKI	1.0	0.7524570226669312
CLDND2	0.0	0.7520205974578857
WDR44	0.0	0.7520033717155457
CCDC6	1.0	0.7518402338027954
DDIT3	1.0	0.7505310773849487
HIST1H4I	1.0	0.7504541873931885
PHOX2B	1.0	0.7501975893974304
KLF4	1.0	0.7496402263641357
SSX1	1.0	0.7496000528335571
ARID1A	1.0	0.748558521270752
CLTC	1.0	0.7467813491821289
ST6GALNAC6	0.0	0.746447741985321
TCF7L2	1.0	0.7463034987449646
TFEB	1.0	0.7458194494247437
ID3	1.0	0.7456731796264648
SPEN	1.0	0.7455371618270874
NFE2L2	1.0	0.7444838881492615
ARID1B	1.0	0.7444348931312561
NTF3	0.0	0.7442547082901001
CREBBP	1.0	0.7442176342010498
SOX2	1.0	0.7441026568412781
BASP1	0.0	0.7433904409408569
CTNNA2	1.0	0.742998480796814
SP9	0.0	0.7427243590354919
NCOA2	1.0	0.7421267628669739
LYL1	1.0	0.7409194707870483
TCF12	1.0	0.7405831813812256
FANCF	1.0	0.7402531504631042
TCEA1	1.0	0.7401342988014221
CPEB3	1.0	0.739854633808136
TCHH	0.0	0.7393913269042969
TP63	1.0	0.7393604516983032
TMEM200B	0.0	0.7393168210983276
H1FX	0.0	0.7386221885681152
ASPDH	0.0	0.7377371788024902
PTGFR	0.0	0.7376049160957336
ABCD2	0.0	0.7372086644172668
WEE2	0.0	0.7366578578948975
BTG1	1.0	0.7362860441207886
SCAND3	0.0	0.7352294921875
PRF1	1.0	0.7347825765609741
ACSL3	1.0	0.7346961498260498
FAM47C	1.0	0.7344664335250854
TP53	1.0	0.7336837649345398
CDX2	1.0	0.7335463762283325
ETV4	1.0	0.7333269119262695
RUNX1	1.0	0.7324903607368469
COX6C	1.0	0.7323589324951172
BCL6	1.0	0.7322841286659241
KMT2D	1.0	0.7321045994758606
EWSR1	1.0	0.7318252325057983
