________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
HSD11B1	1.0	0.9999960660934448
ABLIM1	1.0	0.9999802112579346
RUNX3	1.0	0.997246265411377
TRMT9B	1.0	0.9958053231239319
GBA	0.0	0.9938820600509644
IRF6	1.0	0.9929616451263428
REXO1	0.0	0.9897583723068237
ADCY9	1.0	0.987850546836853
LMTK2	1.0	0.9808807373046875
LSP1	1.0	0.9805624485015869
MLXIP	1.0	0.9771971106529236
BDNF	0.0	0.9721213579177856
ANGPTL3	1.0	0.9714402556419373
AK4	1.0	0.9667255878448486
NHEJ1	1.0	0.9568654298782349
TPRA1	0.0	0.9549901485443115
BCL7A	1.0	0.9483345150947571
CBFA2T3	1.0	0.9463747143745422
NT5C2	1.0	0.9433760643005371
MAN1C1	1.0	0.9428903460502625
CDKN2A	1.0	0.9411354660987854
MYH9	1.0	0.9337970018386841
ZBTB38	1.0	0.9199124574661255
MXI1	1.0	0.9190956950187683
ELAVL4	1.0	0.9147363305091858
FDFT1	1.0	0.9122494459152222
GATA4	1.0	0.9110386371612549
SLC22A18	1.0	0.9094692468643188
POFUT2	0.0	0.9085980653762817
COL17A1	1.0	0.9062394499778748
PLEKHS1	1.0	0.9036532640457153
ACSL4	1.0	0.9029354453086853
SYCE1L	0.0	0.900050163269043
CLCA1	1.0	0.8901702761650085
PPRC1	1.0	0.8897180557250977
CNR2	1.0	0.8885096311569214
TRIM31	1.0	0.8865139484405518
AQP7	1.0	0.879878044128418
PTGFR	0.0	0.8794630765914917
CLCA2	1.0	0.8771893978118896
SCAND3	0.0	0.8761493563652039
ACVR2B	0.0	0.8743061423301697
PITX3	1.0	0.8734071254730225
EHMT1	1.0	0.8731700778007507
CAPN6	1.0	0.8700817823410034
DDR1	1.0	0.8688306212425232
MUC5B	1.0	0.8682324886322021
FNDC3B	1.0	0.8660918474197388
TAF1L	1.0	0.8634955883026123
CAMKK2	1.0	0.8626118898391724
PAX8	1.0	0.8609398603439331
CD34	1.0	0.8588064312934875
GRIN1	1.0	0.8583753108978271
MUC6	1.0	0.8583053350448608
SERPINI2	1.0	0.8581052422523499
B4GALT1	1.0	0.857479989528656
FAM198B	0.0	0.8504047393798828
CSMD3	1.0	0.8494073152542114
SEPTIN6	1.0	0.8492313027381897
LAMB3	1.0	0.8457580804824829
TH	1.0	0.8436723947525024
TRIM63	1.0	0.8426705598831177
NOS2	1.0	0.8425130248069763
NPTX2	1.0	0.8424930572509766
TRAP1	1.0	0.8420896530151367
PRSS3	1.0	0.8407319784164429
TMBIM1	0.0	0.838409423828125
MOB2	1.0	0.8366297483444214
COLQ	1.0	0.8355090022087097
KATNAL1	0.0	0.835460364818573
LAMB2	0.0	0.8341706991195679
CPEB1	1.0	0.833177924156189
CHRDL1	1.0	0.8319728374481201
COL6A6	1.0	0.8318355679512024
ZCCHC12	1.0	0.8305537700653076
PCNX	0.0	0.8298417329788208
USP17L2	1.0	0.8290368318557739
TAC1	1.0	0.8287296295166016
PDE10A	0.0	0.827693521976471
BLK	1.0	0.826825737953186
TIAF1	1.0	0.8244051337242126
NEURL1	1.0	0.8241068720817566
MUC5AC	1.0	0.8217960596084595
NTNG1	0.0	0.8193580508232117
MAPK15	1.0	0.8156248331069946
RBP2	1.0	0.8149915933609009
FOXD2	1.0	0.8146774768829346
SLC4A2	0.0	0.8142952919006348
TCHH	0.0	0.8142470121383667
IL1A	1.0	0.8134153485298157
MDC1	1.0	0.8129099607467651
ATOH8	0.0	0.8123956918716431
C5ORF38	0.0	0.8122562766075134
PHC3	1.0	0.8114317655563354
IL1B	1.0	0.8102477192878723
PPAPDC2	0.0	0.8081315755844116
PCNXL3	0.0	0.8081198334693909
LENG1	0.0	0.8067421913146973
ARL4D	0.0	0.8053620457649231
HLA-F	1.0	0.8036392331123352
