________________ CD PROBABILITY RANKING _______________ 
Sequence: 	 Probability 
PTMS	0.0	0.8971059322357178
SRSF2	1.0	0.8338040113449097
TIMM13	0.0	0.8269646167755127
SFPQ	1.0	0.8180742859840393
JUN	1.0	0.8111441135406494
NES	0.0	0.8100330829620361
LMNA	1.0	0.8054095506668091
DDX5	1.0	0.8032243251800537
EIF4A2	1.0	0.8029201030731201
MLLT11	1.0	0.7970115542411804
VIM	0.0	0.7911291718482971
RBM15	1.0	0.7856987714767456
EZR	1.0	0.7845761775970459
BCL10	1.0	0.784000039100647
ASPDH	0.0	0.7740734219551086
CDKN1B	1.0	0.7731412649154663
PHOX2B	1.0	0.7711501717567444
CDX2	1.0	0.7707908749580383
TNFRSF14	1.0	0.7706204652786255
FOXR1	1.0	0.770534873008728
PTPRC	1.0	0.770289421081543
CHRM2	0.0	0.7702580690383911
ATP2B3	1.0	0.7701689004898071
FAT3	1.0	0.7700268626213074
SOX2	1.0	0.7697528600692749
ROS1	1.0	0.7697445154190063
CD79A	1.0	0.7696793079376221
PRH1	0.0	0.7693970203399658
A1CF	1.0	0.7693588733673096
MACC1	1.0	0.769187331199646
ISX	1.0	0.7691266536712646
CD209	1.0	0.7689990997314453
TRIM38	0.0	0.768651008605957
CALML6	0.0	0.7686428427696228
ESR1	1.0	0.7685784101486206
AXIN2	1.0	0.7683308124542236
TRIM71	0.0	0.7683094143867493
KLK2	1.0	0.7682638168334961
ASXL2	1.0	0.7675710916519165
TCHH	0.0	0.7673561573028564
CHD4	1.0	0.7673366069793701
FAM65B	0.0	0.7672278881072998
MEFV	0.0	0.7671204805374146
GDF11	0.0	0.7671073079109192
PTPRB	1.0	0.7670749425888062
NUTM2D	1.0	0.7667288780212402
TLX3	1.0	0.7665284872055054
TRMT12	0.0	0.766441285610199
BRD4	1.0	0.7654330134391785
PRDM2	1.0	0.7651126980781555
FCGR2B	1.0	0.7636306285858154
HLA-A	1.0	0.7632759809494019
OMD	1.0	0.7631374597549438
KCNK2	0.0	0.7630442380905151
KEAP1	1.0	0.7627454996109009
TMCC2	0.0	0.7614389657974243
CD79B	1.0	0.7606220245361328
NPM1	1.0	0.7592554092407227
TRIM26	0.0	0.7578675150871277
GSG1	0.0	0.7577157020568848
SMARCE1	1.0	0.7559928297996521
DDX3X	1.0	0.7537218332290649
PPT2	0.0	0.7527225017547607
GNG13	0.0	0.750511646270752
RGPD3	1.0	0.7495092749595642
ST6GALNAC6	0.0	0.749377429485321
SET	1.0	0.7490578889846802
BCL7A	1.0	0.7488155364990234
TFPT	1.0	0.7484630942344666
RUNX1	1.0	0.747851550579071
CD74	1.0	0.747584879398346
KMT2D	1.0	0.7473859786987305
GATA1	1.0	0.7473180890083313
LPP	1.0	0.7471826672554016
ABCD2	0.0	0.7470486760139465
CCR4	1.0	0.7466669678688049
SCAND3	0.0	0.7465925812721252
SYCE1L	0.0	0.7465362548828125
GBA	0.0	0.7465111613273621
PTGFR	0.0	0.7464127540588379
C3ORF58	0.0	0.7461875677108765
TNFRSF17	1.0	0.7461718916893005
KCNE4	0.0	0.7458041906356812
LYL1	1.0	0.7457016706466675
PTPRD	1.0	0.7452771067619324
SPECC1	1.0	0.7452678084373474
SSX1	1.0	0.7452260255813599
PRF1	1.0	0.7451947331428528
TP63	1.0	0.7449134588241577
FAM47C	1.0	0.744909942150116
CTNNA2	1.0	0.7449097633361816
WEE2	0.0	0.7449069023132324
CCND2	1.0	0.744591474533081
TCEANC	0.0	0.7441738843917847
PDE3A	0.0	0.7441027760505676
SALL4	1.0	0.7431430220603943
BMP4	0.0	0.742355227470398
CDH10	1.0	0.7423422932624817
ARHGEF10	1.0	0.7408624887466431
PTCH1	1.0	0.7406624555587769
